iconUrl,league,gameItemId,name,typeLine,baseType,rarity,identified,foilVariation,corrupted,shaper,stashId,itemId,influences,currencyAmount,currencyType
https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvSmV3ZWxzL0VsZGVySmV3ZWwiLCJ3IjoxLCJoIjoxLCJzY2FsZSI6MX1d/278c673716/ElderJewel.png,Affliction,769d29e72c3d45571435eb8518e4605110c1ef165f907e0bad92c3f0faf466b6,Watcher's Eye,Prismatic Jewel,Prismatic Jewel,Unique,True,,,,826ee8547a3c145adedd7073cce63d99f345460fa5994b3085365330ce493efd,0,,3,divine
https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvSmV3ZWxzL0VsZGVySmV3ZWwiLCJ3IjoxLCJoIjoxLCJzY2FsZSI6MX1d/278c673716/ElderJewel.png,Affliction,e5435567ce4d0ddb0dfa52b6f9068e0815853b85a79afd75556d8a19fe7e9547,Watcher's Eye,Prismatic Jewel,Prismatic Jewel,Unique,True,,,,826ee8547a3c145adedd7073cce63d99f345460fa5994b3085365330ce493efd,1,,1,divine
https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvSmV3ZWxzL0VsZGVySmV3ZWwiLCJ3IjoxLCJoIjoxLCJzY2FsZSI6MX1d/278c673716/ElderJewel.png,Affliction,027d9b9b8d20f66e36c55647696f3404586b7f77ab3c39a5ad5f2d2dc8265ad2,Watcher's Eye,Prismatic Jewel,Prismatic Jewel,Unique,True,,,,826ee8547a3c145adedd7073cce63d99f345460fa5994b3085365330ce493efd,2,,1,divine
https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvSmV3ZWxzL1ZhYWxDaXZpbGl6YXRpb24iLCJ3IjoxLCJoIjoxLCJzY2FsZSI6MX1d/568c0e7c98/VaalCivilization.png,Affliction,f76c4e7fc7b6db45972742451aa6f82b7b0ec4d687a0f441062a7004c2333a8b,Glorious Vanity,Timeless Jewel,Timeless Jewel,Unique,True,,,,826ee8547a3c145adedd7073cce63d99f345460fa5994b3085365330ce493efd,3,,3,divine
https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvSmV3ZWxzL0V0ZXJuYWxFbXBpcmVDaXZpbGl6YXRpb24iLCJ3IjoxLCJoIjoxLCJzY2FsZSI6MX1d/8d1d098584/EternalEmpireCivilization.png,Affliction,6f31c6c9cb77095aeda33acc5598e7293104f6324155c1759581e58c5a5036b6,Elegant Hubris,Timeless Jewel,Timeless Jewel,Unique,True,,,,826ee8547a3c145adedd7073cce63d99f345460fa5994b3085365330ce493efd,4,,1,divine
https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvSmV3ZWxzL1RlbXBsYXJDaXZpbGl6YXRpb24iLCJ3IjoxLCJoIjoxLCJzY2FsZSI6MX1d/09ecf8ac86/TemplarCivilization.png,Affliction,1a664673a139ce808f712870667af9f0dc62befafb9e90aa91d35378c7f008df,Militant Faith,Timeless Jewel,Timeless Jewel,Unique,True,,,,826ee8547a3c145adedd7073cce63d99f345460fa5994b3085365330ce493efd,5,,13,divine
https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvSmV3ZWxzL0FmZmxpY3Rpb25KZXdlbCIsInciOjEsImgiOjEsInNjYWxlIjoxfV0/0794886e1c/AfflictionJewel.png,Affliction,f8ac9c9f3166ad9668904cf469b81f763a5f022a26d90cb116e8148a479524d8,That Which Was Taken,Crimson Jewel,Crimson Jewel,Unique,True,,,,858dc7c5b572e574042ef569f92b1db408648619685f239a5ca31184a152c9e8,6,,70,divine
https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvSmV3ZWxzL0VsZGVySmV3ZWwiLCJ3IjoxLCJoIjoxLCJzY2FsZSI6MX1d/278c673716/ElderJewel.png,Affliction,38d9d36f12bc6acc2deff0cf15baa2847077a84feaaa1aac466d5438f1f7449d,Watcher's Eye,Prismatic Jewel,Prismatic Jewel,Unique,True,,,,6d09d0d49fec47c4a12fa57791913a5be4ac363d3b1e4440cb60a89d7b6893de,7,,100,chaos
https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvSmV3ZWxzL0VsZGVySmV3ZWwiLCJ3IjoxLCJoIjoxLCJzY2FsZSI6MX1d/278c673716/ElderJewel.png,Affliction,a8accc0fdc3ed0b34cdfd3258be1e57cf121a0826a216d320bbd017c5396b34c,Watcher's Eye,Prismatic Jewel,Prismatic Jewel,Unique,True,,,,6d09d0d49fec47c4a12fa57791913a5be4ac363d3b1e4440cb60a89d7b6893de,8,,2,divine
https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvSmV3ZWxzL1RlbXBsYXJDaXZpbGl6YXRpb24iLCJ3IjoxLCJoIjoxLCJzY2FsZSI6MX1d/09ecf8ac86/TemplarCivilization.png,Affliction,295c4a433e33882bb22bf683aaf5323829c9c4626ed0fa71d6133ce1c1aea257,Militant Faith,Timeless Jewel,Timeless Jewel,Unique,True,,,,6d09d0d49fec47c4a12fa57791913a5be4ac363d3b1e4440cb60a89d7b6893de,9,,2,divine
